Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,publish_date
140000.0,2.0,2258.0,7.0,9.0,1969.0,62.0,47.0,9.0,Омеляновича-Павленка,3 вересня 2020 р.
105000.0,4.0,847.0,25.0,26.0,2018.0,124.0,71.0,16.0,,7 жовтня 2020 р.
175000.0,3.0,1786.0,25.0,26.0,2010.0,98.0,,,Ованеса Туманяна,1 жовтня 2020 р.
30970.0,1.0,1106.0,12.0,13.0,2013.0,28.0,13.0,5.0,Петропавлівська,1 лютого
82000.0,2.0,1281.0,18.0,26.0,,64.0,,,Дніпровська,
168535.7,3.0,1872.6,4.0,9.0,1966.0,90.0,45.0,10.0,Саксаганського,28 жовтня 2020 р.
4500000.0,4.0,14610.0,18.0,21.0,2011.0,308.0,,,Івана Мазепи,19 жовтня 2020 р.
135000.0,2.0,2077.0,16.0,23.0,2012.0,65.0,25.0,18.0,Дніпровська,1 вересня 2020 р.
120000.0,1.0,2500.0,8.0,25.0,2012.0,48.0,18.0,16.0,Ділова,12 жовтня 2020 р.
57500.0,3.0,625.0,9.0,9.0,1970.0,92.0,,,Новодарницька,5 жовтня 2020 р.
98000.0,2.0,1633.0,21.0,34.0,2014.0,60.0,41.0,27.0,Ревуцького,24 січня
170000.0,3.0,1735.0,16.0,22.0,2018.0,98.0,48.0,35.0,Липківського,8 липня 2020 р.
320000.0,5.0,1963.0,23.0,25.0,2017.0,163.0,100.0,14.0,Бендукідзе,11 січня
65000.0,1.0,2600.0,1.0,3.0,,25.0,20.0,3.0,Введенська,30 листопада 2020 р.
125000.0,2.0,2778.0,6.0,9.0,1965.0,45.0,,,Виноградний,11 лютого
48000.0,1.0,849.0,22.0,25.0,,,40.0,10.0,Кайсарова,
70000.0,1.0,1273.0,26.0,27.0,2004.0,55.0,22.0,12.0,Ахматової,3 лютого
75000.0,3.0,1005.0,4.0,26.0,,,,,Радченка,
84000.0,2.0,1273.0,6.0,26.0,,66.0,,18.0,Дніпровська,
175000.0,1.0,1725.8,7.0,25.0,2012.0,,,,Ділова,21 січня
63000.0,3.0,900.0,7.0,10.0,1987.0,70.0,44.0,,Бориспільська,16 січня
390000.0,3.0,3000.0,11.0,28.0,2013.0,130.0,48.0,66.0,Болсуновська,12 березня 2018 р.
335000.0,3.0,3160.0,24.0,28.0,2017.0,106.0,55.0,24.0,Українки,20 лютого
320000.0,3.0,3137.0,15.0,24.0,2016.0,102.0,70.0,20.0,Антонова,19 червня 2020 р.
140000.0,2.0,2258.0,7.0,9.0,1969.0,62.0,47.0,9.0,Омеляновича-Павленка,3 вересня 2020 р.
105000.0,4.0,847.0,25.0,26.0,2018.0,124.0,71.0,16.0,,7 жовтня 2020 р.
175000.0,3.0,1786.0,25.0,26.0,2010.0,98.0,,,Ованеса Туманяна,1 жовтня 2020 р.
30970.0,1.0,1106.0,12.0,13.0,2013.0,28.0,13.0,5.0,Петропавлівська,1 лютого
82000.0,2.0,1281.0,18.0,26.0,,64.0,,,Дніпровська,
168535.7,3.0,1872.6,4.0,9.0,1966.0,90.0,45.0,10.0,Саксаганського,28 жовтня 2020 р.
4500000.0,4.0,14610.0,18.0,21.0,2011.0,308.0,,,Івана Мазепи,19 жовтня 2020 р.
135000.0,2.0,2077.0,16.0,23.0,2012.0,65.0,25.0,18.0,Дніпровська,1 вересня 2020 р.
120000.0,1.0,2500.0,8.0,25.0,2012.0,48.0,18.0,16.0,Ділова,12 жовтня 2020 р.
57500.0,3.0,625.0,9.0,9.0,1970.0,92.0,,,Новодарницька,5 жовтня 2020 р.
98000.0,2.0,1633.0,21.0,34.0,2014.0,60.0,41.0,27.0,Ревуцького,24 січня
170000.0,3.0,1735.0,16.0,22.0,2018.0,98.0,48.0,35.0,Липківського,8 липня 2020 р.
320000.0,5.0,1963.0,23.0,25.0,2017.0,163.0,100.0,14.0,Бендукідзе,11 січня
65000.0,1.0,2600.0,1.0,3.0,,25.0,20.0,3.0,Введенська,30 листопада 2020 р.
125000.0,2.0,2778.0,6.0,9.0,1965.0,45.0,,,Виноградний,11 лютого
48000.0,1.0,849.0,22.0,25.0,,,40.0,10.0,Кайсарова,
70000.0,1.0,1273.0,26.0,27.0,2004.0,55.0,22.0,12.0,Ахматової,3 лютого
75000.0,3.0,1005.0,4.0,26.0,,,,,Радченка,
84000.0,2.0,1273.0,6.0,26.0,,66.0,,18.0,Дніпровська,
175000.0,1.0,1725.8,7.0,25.0,2012.0,,,,Ділова,21 січня
63000.0,3.0,900.0,7.0,10.0,1987.0,70.0,44.0,,Бориспільська,16 січня
390000.0,3.0,3000.0,11.0,28.0,2013.0,130.0,48.0,66.0,Болсуновська,12 березня 2018 р.
335000.0,3.0,3160.0,24.0,28.0,2017.0,106.0,55.0,24.0,Українки,20 лютого
320000.0,3.0,3137.0,15.0,24.0,2016.0,102.0,70.0,20.0,Антонова,19 червня 2020 р.
118000.0,2.0,1311.0,15.0,25.0,1959.0,90.0,41.0,13.0,Науки,18 травня 2020 р.
159990.0,4.0,1437.0,6.0,10.0,2016.0,,,30.0,Метрологічна,30 листопада 2020 р.
85000.0,3.0,1417.0,2.0,5.0,1961.0,60.0,44.0,6.0,Дружби Народів,23 вересня 2020 р.
155022.2,1.0,2541.3,,,,61.0,,,,
590000.0,3.0,5900.0,,,,100.0,,,Драгомирова,23 квітня 2020 р.
84000.0,2.0,1333.0,2.0,16.0,2016.0,63.0,32.0,15.0,Данченка,21 травня 2020 р.
35000.0,2.0,778.0,1.0,2.0,,45.0,,,Кримська,
63000.0,2.0,969.0,4.0,25.0,,65.0,31.0,13.0,Новопольова,
40000.0,2.0,870.0,3.0,5.0,1963.0,46.0,30.0,8.0,Туполєва,8 лютого
42654.8,1.0,1375.9,,,,31.0,,,,
60000.0,1.0,1463.0,2.0,26.0,,41.0,,,Дніпровська,
130000.0,2.0,1625.0,6.0,25.0,2010.0,80.0,,14.0,Перемоги,17 лютого
346500.0,2.0,4500.0,7.0,24.0,2019.0,77.0,38.0,20.0,Івана Федорова,7 липня 2020 р.
46998.0,2.0,1000.0,5.0,5.0,1968.0,47.0,35.0,8.0,Братиславська,27 листопада 2020 р.
10092.1,1.0,672.8,,,,15.0,,,,
29256.6,1.0,978.5,1.0,5.0,,,,,Червоноткацька,
166000.0,1.0,3532.0,2.0,9.0,,47.0,22.0,16.0,Златоустівська,
115000.0,4.0,1369.0,5.0,9.0,1970.0,84.0,35.0,9.0,Бойченка,15 лютого 2014 р.
298000.0,3.0,2249.0,11.0,23.0,2016.0,,,,Трускавецька,12 січня
43100.0,1.0,1390.0,8.0,26.0,2018.0,31.0,16.0,5.0,Каховська,24 листопада 2020 р.
179900.0,4.0,1475.0,19.0,27.0,2010.0,122.0,,,Лобановського,23 жовтня 2019 р.
96255.3,1.0,1504.0,,,,64.0,,,,
56500.0,3.0,926.0,6.0,9.0,1970.0,61.0,40.0,7.0,Курчатова,12 листопада 2020 р.
110000.0,1.0,1930.0,19.0,25.0,2008.0,57.0,,,Голосіївська,29 жовтня 2020 р.
47000.0,1.0,1146.0,5.0,16.0,1990.0,41.0,10.0,16.0,Тираспольська,28 січня
90000.0,2.0,2195.0,1.0,9.0,,41.0,28.0,6.0,Лаврська,17 лютого
44980.0,1.0,1249.0,19.0,25.0,2017.0,36.0,16.0,14.0,Правди,26 січня
