street,type,district
9-го Травня,вулиця,Святошинський
Абрикосова,вулиця,Оболонський
Абрикосова,вулиця,Дарницький
Абрикосова,вулиця,Подільський
Августина Волошина,вулиця,Солом’янський
Авдєєнка Генерала,вулиця,Святошинський
Автозаводська,вулиця,Оболонський
Автозаводський ,провулок,Оболонський
Автопаркова,вулиця,Дарницький
Авторемонтна,вулиця,Солом'янський
Автотранспортна,вулиця,Дарницький
Агітаторська,вулиця,Солом'янський
Агрегатна,вулиця,Оболонський
Аеродромна,вулиця,Солом'янський
Азербайджанська,вулиця,Дніпровський
Азовська,вулиця,Солом'янський
Айвазовського,провулок,Шевченківський
Академіка Єфремова,вулиця,Святошинський
Академіка Оппокова,вулиця,Оболонський
Академіка Ромоданова,вулиця,Шевченківський
Академіка Тронька,вулиця,Голосіївський
Акацієвий,провулок,Дарницький
Алексухіна Василя,вулиця,Святошинський
Алли Горської,провулок,Шевченківський
Алматинська,вулиця,Дніпровський
Аляб'єва,вулиця,Оболонський
Аманда Струве,вулиця,Оболонський
Аміни Окуєвої ,вулиця,Шевченківський
Амосова Миколи,вулиця,Солом'янський
Амурська,вулиця,Голосіївський
Амурська,площа,Голосіївський
Ананасна,вулиця,Подільський
Анатоліївська,вулиця,Деснянський
Анатолія Кентія,вулиця,Голосіївський
Анатолія Лупиноса,вулиця,Солом’янський
Анатолія Солов'яненка,вулиця,Дніпровський
Андріївська,вулиця,Подільський
Андріївський ,узвіз,Подільський
Андрія Аболмасова ,вулиця,Дніпровський
Андрія Кизила,вулиця,Дарницький
Андрія Меленського,вулиця,Голосіївський
Андрія Ніковського,вулиця,Голосіївський
Андрія Первозванного,площа,Печерський
Андрющенка Григорія,вулиця,Шевченківський
Анкари,площа,Деснянський
Анни Ярославни,вулиця,Святошинський
Антіна Ждановича,вулиця,Солом'янський
Антона Цедіка,вулиця,Шевченківський
Антоненка-Давидовича Бориса,вулиця,Дарницький
Антоні Новосельського,вулиця,Святошинський
Антонова Авіаконструктора,вулиця,Солом'янський
Антоновича,вулиця,"Голосіївський, Печерський"
Ареф'єва Костянтина,вулиця,Дарницький
Аркасівська,вулиця,Оболонський
Армійська ,вулиця,Голосіївський
Арсенальна ,площа,Печерський
Арсенальна ,вулиця,Печерський
Арсенальний,провулок,Печерський
Артезіанський,провулок,Подільський
Артемія Веделя,вулиця,Голосіївський
Артилерійський,провулок,Шевченківський
Архипа Люльки,вулиця,Солом’янський
Архипенка Олександра,вулиця,Оболонський
Архітектора Дяченка,вулиця,Голосіївський
Архітектора Кобелєва,вулиця,Солом'янський
Архітекторська,вулиця,Солом'янський
Аскольдів,провулок,Печерський
Астраханська,вулиця,Дніпровський
Астраханський,провулок,Дніпровський
Астрономічна,вулиця,Святошинський
Атени Пашко,вулиця,Голосіївський
Аттили Могильного,вулиця,Солом’янський
Ахматової Анни,вулиця,Дарницький
Бабушкіна,провулок,Шевченківський
Багговутівська,вулиця,Шевченківський
Багратіона,вулиця,Солом'янський
Багряна Дуброва,вулиця,Голосіївський
Багряного Івана,вулиця,Дніпровський
Бажана Миколи,проспект,Дарницький
Бажова,вулиця,Дніпровський
Байкальська,вулиця,Голосіївський
Байкова,вулиця,Голосіївський
Бакинська,вулиця,Шевченківський
Бакинський,провулок,Шевченківський
Баклажанна,вулиця,Подільський
Бакуніна,вулиця,Солом'янський
Балакірева,вулиця,Голосіївський
Балаклієвська,вулиця,Шевченківський
Балтійський,провулок,Оболонський
Бальзака Оноре де,вулиця,Деснянський
Банкова,вулиця,Печерський
Баренбойма,вулиця,Голосіївський
Барикадна,вулиця,Голосіївський
Баришівська,вулиця,Печерський
Басейна,вулиця,"Печерський, Шевченківський"
Бастіонна,вулиця,Печерський
Бастіонний,провулок,Печерський
Батумська,вулиця,Голосіївський
Батуринська,вулиця,Дарницький
Батуринський  ,провулок,Дарницький
Баха Академіка ,вулиця,Дніпровський
Бахмацька,вулиця,Святошинський
Бджолиний,провулок,Дарницький
Безручка Марка,вулиця,Шевченківський
Бердичівська,вулиця,Шевченківський
Бердянська,вулиця,Шевченківський
Бердянський,провулок,Шевченківський
Берегова,вулиця,Деснянський
Бережанська,вулиця,Оболонський
Березнева,вулиця,Дніпровський
Березнева,вулиця,Дарницький
Березневий,провулок,Дарницький
Березневий 3,провулок,Дарницький
Березняківська,вулиця,Дніпровський
Березова,вулиця,Солом'янський
Берестецька,вулиця,Оболонський
Беретті Вікентія,вулиця,Деснянський
Берізоньки (Озерна 14),вулиця,Дарницький
Берковецька,вулиця,Святошинський
Берлінського Максима,вулиця,Шевченківський
Бессарабська,площа,Шевченківський
Бестужева Олександра,провулок,Подільський
Бестужева Олександра,вулиця,Подільський
Бетховена,вулиця,Святошинський
Бехтерівський,провулок,Шевченківський
Биківнянська,вулиця,Деснянський
Биківнянський,провулок,Деснянський
Биківський,провулок,Подільський
Бикова Леоніда,бульвар,Деснянський
Бишівський,провулок,Дніпровський
Бігова ,вулиця,Деснянський
Білаша Олександра,вулиця,Деснянський
Білгородська,вулиця,Солом'янський
Білецького Академіка,вулиця,Солом'янський
Білицька,вулиця,Подільський
Білицький,провулок,Подільський
Біличанська,вулиця,Святошинський
Білогородська,вулиця,Святошинський
Білокур Катерини,вулиця,Печерський
Біломорська,вулиця,Деснянський
Білоруська,вулиця,Шевченківський
Біляшівського Академіка,вулиця,Святошинський
Бірюзова Маршала,вулиця,Святошинський
Блакитного,вулиця,Голосіївський
Блока Олександра,вулиця,Святошинський
Бобринецька,вулиця,Деснянський
Бобринецький,провулок,Деснянський
Бобруйський,провулок,Подільський
Богатирська,вулиця,Оболонський
Богатирський,проїзд,Оболонський
Богдана Гаврилишина,вулиця,Шевченківський
Богданівська,вулиця,Солом'янський
Богданівський,провулок,Солом'янський
Богомольця Академіка,вулиця,Печерський
Богуна Івана,вулиця,Дарницький
Богунська,вулиця,Голосіївський
Богунський,провулок,Голосіївський
Богуславський,узвіз,Подільський
Богушевський,провулок,Деснянський
Божків Яр,вулиця,Солом'янський
Бойка Івана,вулиця,Дарницький
Бойова,вулиця,Голосіївський
Бойчука Михайла,вулиця,Печерський
Болбочана Петра,вулиця,Печерський
Болсуновська,вулиця,Печерський
Бондарська,вулиця,Подільський
Бондарський,провулок,Подільський
Бориса Матюшенка,вулиця,Голосіївський
Бориса Мозолевського,вулиця,Голосіївський
Бориса Тена,вулиця,Голосіївський
Бориса Шахліна,провулок,Голосіївський
Бориславська,вулиця,Солом'янський
Борисоглібська,вулиця,Подільський
Бориспільська,вулиця,Дарницький
Бориспільське,шосе,Дарницький
Боричів ,узвіз,Подільський
Боричів Тік,вулиця,Подільський
Борова,вулиця,Дарницький
Борова,вулиця,Дарницький
Боровий,провулок,Дарницький
Боровий,провулок,Дарницький (Бортничі)
Боровиковського,вулиця,Оболонський
Боровинська,вулиця,Подільський
Боровиченко Марії,вулиця,Голосіївський
Бородянський ,провулок,Святошинський
Бортницька,вулиця,Дарницький
Бортницька,вулиця,Дарницький
Бортницький,провулок,Дарницький
Бортницький 1,провулок,Дарницький
Бортницький 2,провулок,Дарницький
Борщагівська,вулиця,"Солом'янський, Шевченківський "
Ботанічна,площа,Шевченківський
Боткіна,вулиця,Солом'янський
Брановицького Ігоря,вулиця,Печерський
Братиславська,вулиця,"Деснянський, Дніпровський"
Братів Зерових,вулиця,Солом'янський
Братів Шеметів,вулиця,Голосіївський
Братська,вулиця,Подільський
Брацлавська,вулиця,Дарницький
Брест-Литовський,провулок,Шевченківський
Брестська,вулиця,Подільський
Броварський,провулок,Деснянський
Броварський,проспект,"Деснянський, Дніпровський"
Бродівська,вулиця,Голосіївський
Бродівський,провулок,Голосіївський
Брусилівська,вулиця,Святошинський
Брюлова,вулиця,Солом'янський
Брюсова,вулиця,Подільський
Брянська,вулиця,Солом'янський
Бугорна ,вулиця,Шевченківський
Бугорний,провулок,Шевченківський
Бударіна,вулиця,Святошинський
Будищанська,вулиця,Деснянський
Будівельників,провулок,Дніпровський
Будівельників,вулиця,Дніпровський
Будівельників,вулиця,Деснянський
Будівельників,провулок,Святошинський
Будіндустрії,вулиця,Голосіївський
Бузинова,вулиця,Дарницький
Буйка Професора,вулиця,Голосіївський
Букіної Раїси,вулиця,Святошинський
Букіної Раїси,провулок,Святошинський
Буковинська,вулиця,Голосіївський
Буковинський,провулок,Голосіївський
Булаховського Академіка,вулиця,Святошинський
Булгакова,вулиця,Святошинський
Бульварно-Кудрявська,вулиця,Шевченківський
Бурденка,провулок,Подільський
Бурмистенка,вулиця,Голосіївський
Бурмистенка,провулок,Голосіївський
Буслівська,вулиця,Печерський
Бутишів,провулок,Печерський
Бутлерова Академіка,вулиця,Дніпровський
Бучанська,вулиця,Святошинський
Бучми Амвросія,бульвар,Дніпровський
В’ячеслава Липинського,вулиця,Шевченківський
Вавілових,вулиця,Шевченківський
Вакуленчука,вулиця,Дарницький
Вакуленчука,провулок,Дарницький
Валентина Отамановського,вулиця,Голосіївський
Валерія Марченка,площа,"Подільський, Шевченківський"
Валер'яна Підмогильного,вулиця,Голосіївський
Валківська,вулиця,Подільський
Василенка Миколи,вулиця,Солом'янський
Василівська,вулиця,Солом'янський
Васильківська,вулиця,Голосіївський
Васильківський,провулок,Голосіївський
Васильченка,вулиця,Солом'янський
Василя Барки,вулиця,Солом’янський
Василя Біднова,вулиця,Деснянський
Василя Вишиваного,вулиця,Дніпровський
Василя Макуха,вулиця,Шевченківський
Василя Седляра,вулиця,Солом'янський
Василя Тютюнника,вулиця,Печерський
Василя Щавинського,вулиця,Деснянський
Васнецова,вулиця,Дніпровський
Ватутіна,вулиця,Солом'янський
Ватутінський,провулок,Деснянський
Ващенка Григорія,вулиця,Дарницький
Введенська,вулиця,Подільський
Велика Васильківська,вулиця,"Голосіївський, Шевченківський, Печерський"
Велика Житомирська,вулиця,Шевченківський
Велика Китаївська,вулиця,Голосіївський
Велика Кільцева,дорога,Оболонський
Велика Окружна,вулиця,Святошинський
Вербицького Архітектора,вулиця,Дарницький
Вербна,вулиця,Оболонський
Вербний,провулок,Деснянський
Вербова,вулиця,Оболонський
Верболозна,вулиця,Подільський
Верболозний,провулок,Подільський
Вересая Остапа,вулиця,Деснянський
Вересковий,провулок,Дарницький
Вереснева,вулиця,Дарницький
Верещагіна,вулиця,Подільський
Вернадського Академіка,бульвар,Святошинський
Верхній,провулок,Печерський
Верхній Вал,вулиця,Подільський
Верхньогірська,вулиця,Печерський
Верхньоключова,вулиця,Солом'янський
Верхня,вулиця,Печерський
Верховинна,вулиця,Святошинський
Верховинця Василя,вулиця,Святошинський
Верховної Ради,бульвар,"Дніпровський, Деснянський"
Вершигори Петра,вулиця,Дніпровський
Веселковий,провулок,Подільський
Весняна,вулиця,Голосіївський
Вешенський,провулок,Деснянський
Виборзький,провулок,Солом'янський
Вигурівський,бульвар,Деснянський
Видубицька,вулиця,Печерський
Визволителів,проспект,Дніпровський
Винахідників,вулиця,Дніпровський
Винахідників,провулок,Дніпровський
Виноградна,вулиця,Солом'янський
Виноградний,провулок,Печерський
Вирлицька,вулиця,Дарницький
Високовольтний,провулок,Дарницький
Висоцького Володимира,бульвар,Деснянський
Вифлеємська,вулиця,Дніпровський
Вишгородська,вулиця,"Подільський, Оболонський"
Вишнева,вулиця,Солом'янський
Вишнева,вулиця,Святошинський
Вишнева,вулиця,Оболонський
Вишнева,вулиця,Дарницький
Вишнева (Озерна 3),вулиця,Дарницький
Вишняківська,вулиця,Дарницький
Відпочинку,вулиця,Святошинський
Відрадний,проспект,"Солом'янський, Святошинський"
Військова,вулиця,Голосіївський
Військовий,проїзд,Печерський
Віктора Зарецького,вулиця,Голосіївський
Вільде Едуарда,вулиця,Дніпровський
Вільнюська,вулиця,Дніпровський
Вільхова ,вулиця,Дніпровський
Вільшанська,вулиця,Печерський
Вільшанський ,провулок,Печерський
Вільямса Академіка,вулиця,Голосіївський
Вінграновського Миколи,вулиця,Дарницький
Вінницька,вулиця,Солом'янський
Вірменська,вулиця,Дарницький
Вірменський,провулок,Дарницький
Вірності,вулиця,Деснянський
Вірського Павла,вулиця,Деснянський
Вірьовки Григорія,вулиця,Деснянський
Віскозна,вулиця,"Дніпровський, Деснянський"
Вітавська,вулиця,Голосіївський
Віто-Литовський,провулок,Голосіївський
Вітрука Генерала,вулиця,Святошинський
Вітряні Гори,вулиця,Подільський
Вітчизняна,вулиця,Подільський
Вітянська,вулиця,Голосіївський
Владлена Кузнецова,вулиця,Деснянський
Водників,вулиця,Подільський
Водогінна,вулиця,Голосіївський
Воздвиженська,вулиця,Подільський
Воздвиженський,провулок,Подільський
Вознесенський,узвіз,Шевченківський
Вокзальна,площа,Солом'янський
Вокзальна,вулиця,"Солом'янський, Шевченківський"
Волгоградська,вулиця,Солом'янський
Волгоградська,площа,Деснянський
Волго-Донська,вулиця,Дарницький
Волго-Донський,провулок,Дарницький
Волзька,вулиця,Голосіївський
Волзький,провулок,Голосіївський
Волинська,вулиця,Солом'янський
Волкова Космонавта,вулиця,Деснянський
Володарська,вулиця,Голосіївський
Володимира Беца,вулиця,Деснянський
Володимира Брожка,вулиця,"Голосіївський, Солом'янський"
Володимира Винниченка,вулиця,Шевченківський
Володимира Горовиця,вулиця,Голосіївський
Володимира Науменко,вулиця,Голосіївський
Володимиро-Либідська,вулиця,Голосіївський
Володимирська,вулиця,"Голосіївський, Шевченківський"
Володимирський,узвіз,"Печерський, Подільський, Шевченківський"
Володимирський,проїзд,Шевченківський
Волоська,вулиця,Подільський
Волошкова,вулиця,Солом'янський
Волошковий,провулок,Деснянський
Волховська,вулиця,Дніпровський
Волховський,провулок,Дніпровський
Воскресенська,вулиця,Дніпровський
Восьмого Березня,вулиця,Оболонський
Врубелівський,узвіз,Шевченківський
Всеволода Змієнка,вулиця,Подільський
Вузівська,вулиця,Солом'янський
Вуликова,вулиця,Дарницький
Вчительська,вулиця,Солом'янський
Гаванська,вулиця,Подільський
Гаванський,провулок,Оболонський
Гавела Вацлава,бульвар,Солом'янський
Гаврилюка,вулиця,Солом’янський
Гагаріна Юрія,проспект,"Деснянський, Дніпровський"
Газова,вулиця,Солом’янський
Газопровідна,вулиця,"Подільський, Святошинський"
Гайдай Зої,вулиця,Оболонський
Гайова,вулиця,Солом’янський
Гайсинська,вулиця,Солом’янський
Галерна,вулиця,Голосіївський
Галицька,вулиця,Подільський
Ганни Арендт,вулиця,Солом'янський
Ганни Барвінок,вулиця,Оболонський
Гаражна,вулиця,Дніпровський
Гаражна,вулиця,Дарницький
Гарета Джонса,провулок,Шевченківський
Гаріна Бориса,вулиця,Солом’янський
Гарматна,вулиця,Солом’янський
Гаршина,вулиця,Святошинський
Гастелло Миколи,вулиця,Печерський
Гатна,вулиця,Голосіївський
Гашека Ярослава,бульвар,Дніпровський
Гвардійська,вулиця,Голосіївський
Генерала Алмазова,вулиця,Печерський
Генерала Гандзюка,вулиця,Оболонський
Генерала Генадія Воробйова,вулиця,Солом'янський
Генерала Грекова,вулиця,Подільський
Генерала Павленка,вулиця,Солом'янський
Генерала Шаповала,вулиця,Солом'янський
Георгіївський,провулок,Шевченківський
Геофізиків,вулиця,Дарницький
Геофізиків,провулок,Дарницький
Герасименка Костянтина,вулиця,Святошинський
Героїв Бресту,площа,Святошинський
Героїв Великої Вітчизняної війни,площа,Печерський
Героїв Війни,вулиця,Солом’янський
Героїв Дніпра,вулиця,Оболонський
Героїв Космосу,вулиця,Святошинський
Героїв Крут,алея,Печерський
Героїв Небесної Сотні,алея,Печерський
Героїв Оборони,вулиця,Голосіївський
Героїв Севастополя,вулиця,Солом'янський
Героїв Сталінграда,проспект,Оболонський
